,Appliance and water fixture model configuration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Appliance category,Appliance type,,Proportion,Appliance demand configuration,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,of dwellings,,,,,,,,,,,,,,,,,,,Time appliance,Time appliance,Time when,Time when ,Average tme ,Probability of ,Overall average demand,Appliance,
,,,,with,Associated,Average,Total number,Average number,Probability of ,Active occupancy,Active,Number of minutes,Probability of,,,,Delay start,,,,,Target number,spent running,spent in delayed,appliance is,appliance could,between switch,switch on event,per dwelling taking,mean,Heat gains ratio
,,,,appliance,activity use,activity,of minutes,of minutes activity,activity occurring,dependent?,occupancy-dependent,in which appliance,activity occurring ,Mean cycle,Mean cycle ,Mean cycle,after cycle,Standby,Standby losses,Target demand,Target demand,of cycles,in period,restart mode,available to ,be switched on,on events,,ownership into,power,(for casual
,,,Short name,,profile,probability,in period,performed in period,,,probability,can operate,given active,power,demand,length,has finished,Power,for period,for period,for cycles only,in period,,,switch on,due to activity occurring,,,account,factor,thermal gains)
,,,,,,,(minutes/year),(minutes/year),,,multiplier,(min),occupancy,(W),(kWh),(min),(min),(W),,(kWh/y),(kWh/y),(cycles/y),(min),(min),(min),(min),(min),,(kWh/y),,
,Cold,Chest freezer,CHEST_FREEZER,0.163,LEVEL,1.000,525600,525600,1.00,NO,1.00,525600,1.00,190,0.04433333333,14,56,0,0.000,271.132,271.132,6115.8,85620.6,342482.5,97497,97497,16,0.063,44,0.8,1
,,Fridge freezer,FRIDGE_FREEZER,0.651,LEVEL,1.000,525600,525600,1.00,NO,1.00,525600,1.00,190,0.06966666667,22,44,0,0.000,426.065,426.065,6115.8,134546.7,269093.4,121960,121960,20,0.050,277,0.8,1
,,Refrigerator,FRIDGE,0.430,LEVEL,1.000,525600,525600,1.00,NO,1.00,525600,1.00,110,0.033,18,36,0,0.000,201.820,201.820,6115.8,110083.7,220167.3,195349,195349,32,0.031,87,0.8,1
,,Upright freezer,UPRIGHT_FREEZER,0.291,LEVEL,1.000,525600,525600,1.00,NO,1.00,525600,1.00,155,0.05166666667,20,40,0,0.000,315.981,315.981,6115.8,122315.2,244630.4,158654,158654,26,0.039,92,0.8,1
,Consumer Electronics + ICT,Answer machine,ANSWER_MACHINE,0.900,ACTIVE_OCC,0.472,525600,248064,0.47,YES,0.47,248064,1.00,0,0,0,0,1,8.760,8.760,0.000,0.0,0.0,0.0,248064,248064,0,1.000,8,1,1
,,Cassette / CD Player,CD_PLAYER,0.900,ACTIVE_OCC,0.472,525600,248064,0.47,YES,0.47,248064,1.00,15,0.015,60,0,2,17.520,33.286,15.766,1212.8,72765.8,0.0,175298,175298,145,0.007,30,1,1
,,Clock,CLOCK,0.900,LEVEL,1.000,525600,525600,1.00,NO,1.00,525600,1.00,0,0,0,0,2,17.520,17.520,0.000,0.0,0.0,0.0,525600,525600,0,1.000,16,1,1
,,Cordless telephone,PHONE,0.900,ACTIVE_OCC,0.472,525600,248064,0.47,YES,0.47,248064,1.00,0,0,0,0,1,8.760,8.760,0.000,0.0,0.0,0.0,248064,248064,0,1.000,8,1,1
,,Hi-Fi,HIFI,0.900,ACTIVE_OCC,0.472,525600,248064,0.47,YES,0.47,248064,1.00,100,0.1,60,0,9,78.840,88.798,9.958,109.4,6565.5,0.0,241498,241498,2207,0.000,80,1,1
,,Iron,IRON,0.900,ACT_IRON,0.008,525600,4423,0.01,YES,0.47,248064,0.02,1000,0.5,30,0,0,0.000,17.730,17.730,35.5,1063.8,0.0,247000,4404,124,0.008,16,1,1
,,Vacuum,VACUUM,0.937,ACT_HOUSECLEAN,0.031,525600,16335,0.03,YES,0.47,248064,0.07,2000,0.6666666667,20,0,0,0.000,73.578,73.578,110.4,2207.4,0.0,245857,16190,147,0.007,69,1,0.7
