,Water fixture model configuration - probability distribution of hot water draw volume per event,,,,
,"Data estimated from Clarke, A., Grant, N., Thornton, J., 2009 Quantifying the energy and carbon effects of water saving: Final Report for the Environment Agency and Energy Saving Trust. ",,,,
,,,Tap volume (applies to basins and sinks),Shower volume,Bath volume
,,,Litres,Litres,Litres
,,lamba (mean),2.3,25.7,73.3
,k (event volume),,Probability of occurrence,,
,0,,0.100258843722804,6.89654882322121E-12,1.46627178104734E-32
,1,,0.230595340562449,1.77241304756785E-10,1.0747772155077E-30
,2,,0.265184641646816,2.27755076612469E-09,3.93905849483573E-29
,3,,0.203308225262559,1.95110182298015E-08,9.62443292238197E-28
,4,,0.116902229525971,1.25358292126475E-07,1.7636773330265E-26
,5,,0.053775025581947,6.44341621530079E-07,2.58555097021684E-25
,6,,0.020613759806413,2.75992994555384E-06,3.15868143528158E-24
,7,,0.006773092507821,1.01328856572477E-05,3.30759070294485E-23
,8,,0.001947264095999,3.25518951739081E-05,3.03057998157322E-22
,9,,0.000497634157866,9.29537451077154E-05,2.46823902943686E-21
,10,,0.000114455856309,0.000238891124927,1.80921920857721E-20
,11,,2.39316790464804E-05,0.000558136537329,1.20559789080645E-19
,12,,4.58690515057541E-06,0.001195342417446,7.36419378300942E-19
,13,,8.1152937279411E-07,0.002363100009875,4.15227234072762E-18
,14,,1.33322682673318E-07,0.004337976446699,2.17401116125239E-17
,15,,2.04428113432421E-08,0.007432399645344,1.06236678746533E-16
,16,,2.93865413059105E-09,0.011938291930333,4.86696784507556E-16
,17,,3.97582617668201E-10,0.018047888388798,2.09852201790611E-15
,18,,5.08022233687146E-11,0.025768373977339,8.54564799513988E-15
,19,,6.1497428288444E-12,0.034855116379875,3.29682104233554E-14
,20,,7.07220425317106E-13,0.044788824548139,1.20828491201598E-13
,21,,7.74574751537782E-14,0.054812990042246,4.21748971670338E-13
,22,,8.09782694789499E-15,0.064031538367533,1.40519089197435E-12
,23,,8.09782694789499E-16,0.071548284175896,4.47828227746609E-12
,24,,7.7604174917327E-17,0.076616287638355,1.3677420455761E-11
,25,,7.13958409239409E-18,0.078761543692229,4.01021967762913E-11
,26,,6.31578592788708E-19,0.077852756649626,1.13057347065467E-10
,27,,5.38011393857047E-20,0.074104290588719,3.06929760736991E-10
,28,,4.41937930668289E-21,0.068017152433217,8.03498266500767E-10
,29,,3.50502496736919E-22,0.060277269570127,2.03091113567263E-09
,30,,2.68718580831637E-23,0.051637527598408,4.96219287482678E-09
,31,,1.99371850294441E-24,0.042809176105777,1.17331850878969E-08
,32,,1.43298517399129E-25,0.034381119559952,2.68763270919638E-08
,33,,9.98747242478779E-27,0.026775599172448,5.96980235103317E-08
,34,,6.75623134617998E-28,0.02023920290388,1.28701915391392E-07
,35,,4.43980917034684E-29,0.014861357560849,2.695385828054E-07
,36,,2.83654474772159E-30,0.010609358036495,5.48810503323217E-07
,37,,1.76325754588099E-31,0.007369202744268,1.08723810523221E-06
,38,,1.06723483040165E-32,0.004983908171781,2.09722508193477E-06
,39,,6.29394899980462E-34,0.003284267692687,3.94170765399534E-06
,40,,3.61902067488765E-35,0.002110141992551,7.22317927594646E-06
,41,,2.03018232981503E-36,0.001322698761185,1.2913635144558E-05
,42,,1.11176651394632E-37,0.000809365670534,2.2537368002288E-05
,43,,5.94665809785243E-39,0.000483737156575,3.84183505713421E-05
,44,,3.10848036933195E-40,0.000282546475545,6.40014794745314E-05
,45,,1.58877885543633E-41,0.000161365431589,0.000104251298789
,46,,7.94389427718165E-43,9.01541650399731E-05,0.000166122178287
,47,,3.88743762500378E-44,4.9297064713347E-05,0.000259079907839
,48,,1.86273052864765E-45,2.63944700652712E-05,0.000395636609262
,49,,8.74342901201956E-47,1.38436302179075E-05,0.00059184007059
,50,,4.021977345529E-48,7.11562593200448E-06,0.000867637543486
,51,,1.81383292053269E-49,3.58571738142187E-06,0.0012470163125
,52,,8.02272253312534E-51,1.77217185966427E-06,0.001757813378966
,53,,3.48155883512987E-52,8.59336165912674E-07,0.002431089069401
,54,,1.48288617051828E-53,4.08980360443624E-07,0.003299978310872
,55,,6.20116034944007E-55,1.91105368425475E-07,0.004397971094307
,56,,2.54690514352003E-56,8.77037137238342E-08,0.005756630021655
,57,,1.02769856668352E-57,3.95436042579393E-08,0.007402824220831
,58,,4.0753563851243E-59,1.7521907403949E-08,0.009355638196326
,59,,1.58869825182812E-60,7.6324240725676E-09,0.011623191182893
,60,,6.09000996534111E-62,3.26922164441645E-09,0.014199665228434
,61,,2.29623326562042E-63,1.37736059445087E-09,0.017062876413839
,62,,8.51828469504349E-65,5.70938181893343E-10,0.020172723244103
,63,,3.10984996803175E-66,2.32906528169189E-10,0.023470803393536
,64,,1.11760233226141E-67,9.352652771794E-11,0.02688140451166
,65,,3.95459286800191E-69,3.69789501900163E-11,0.030313953087764
,66,,1.37811569642491E-70,1.43993790891427E-11,0.033666860020198
,67,,4.7308449280258E-72,5.52334391926817E-12,0.036832549842993
,68,,1.60013872565579E-73,2.08749909889988E-12,0.039703322110167
,69,,5.33379575218596E-75,7.77517780314884E-13,0.042177587111236
,70,,1.75253289000396E-76,2.85460099344179E-13,0.044165959075051
,71,,5.67721922113958E-78,1.03328514833034E-13,0.045596687326778
,72,,1.81355614008625E-79,3.68825393223467E-14,0.046419960847956
,73,,5.71394400301148E-81,1.29846748025248E-14,0.046610727810345
,74,,1.77595556850357E-82,4.50954246520118E-15,0.046169815520247
,75,,5.44626374341095E-84,1.54526988474227E-15,0.045123299701788
,76,,1.64821139603226E-85,5.22545211024689E-16,0.043520235107119
,77,,4.92322884529116E-87,1.74407947056292E-16,0.041429003030543
,78,,1.4517213261756E-88,5.74651825557271E-17,0.038932640027421
,79,,4.22653044329605E-90,1.86943695149644E-17,0.036123576126708
,80,,1.21512750244761E-91,6.00556620668231E-18,0.033098226626097
,81,,3.45036204398705E-93,1.90546977174982E-18,0.029951851996208
,82,,9.67784475752466E-95,5.97202111389882E-19,0.026774033552708
,83,,2.68181240268756E-96,1.84916798346024E-19,0.023645019992934
,84,,7.34305776926355E-98,5.65757347320573E-20,0.020633094827167
,85,,1.98694504344778E-99,1.71058397954573E-20,0.017793010009781
,86,,5.31392279061616E-101,5.11186142724713E-21,0.01516543760136
,87,,1.40483016303646E-102,1.51005561701438E-21,0.012777316967582
,88,,3.67171519884529E-104,4.41004879059882E-22,0.010642924246861
,89,,9.48870219926309E-106,1.27346352717292E-22,0.008765464576347
,90,,2.4248905620339E-107,3.636445849816E-23,0.007138983927181
,91,,6.1288442776681E-109,1.02699624549748E-23,0.005750412328158
,92,,1.53221106941703E-110,2.86889168579189E-24,0.004581578517978
,93,,3.78933920393458E-112,7.92801250804855E-25,0.003611072100729
,94,,9.27178741388248E-114,2.16755235592391E-25,0.002815867925356
,95,,2.24474853178207E-115,5.8637995312889E-26,0.002172664409774
,96,,5.37804335739456E-117,1.56978799952213E-26,0.001658919804546
,97,,1.27520615690799E-118,4.15912902966173E-27,0.001253596099724
,98,,2.9928307764167E-120,1.09071036798272E-27,0.000937638715406
,99,,6.95304119773577E-122,2.83144004617736E-28,0.000694231493326
,100,,1.59919947547923E-123,7.27680091867582E-29,0.000508871684608
,101,,3.64174137980418E-125,1.85162161990068E-29,0.000369309846354
,102,,8.21176977798982E-127,4.66536035602426E-30,0.000265396193507
,103,,1.83369616401714E-128,1.16407535096916E-30,0.000188869329943
,104,,4.05528959349945E-130,2.87660928076033E-31,0.000133116556585
,105,,8.88301530004642E-132,7.04084366814671E-32,9.29280342633083E-05
,106,,1.92744671604781E-133,1.70707247425821E-32,6.42606123726462E-05
,107,,4.14310976346725E-135,4.10016472789122E-33,4.40215223076166E-05
,108,,8.82328931108766E-137,9.75687347285225E-34,2.98775702328546E-05
,109,,1.86179499224785E-138,2.30047383717709E-34,2.00919807162224E-05
,110,,3.89284407470006E-140,5.37474341958647E-35,1.338856533181E-05
