Heating Controls Model,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Transition Probability Matrix,,,,,,,,,,,,,,,,
,,,,,,,Heating resulting,,,,,,,,Heating resulting,
,,Heating controls timer state @t+1,,,,,probability of 'on',,,Cooling controls timer state @t+1,,,,,probability of 'on',
Half hour period number,Heating controls timer state  @t,Weekdays,,Weekends,,,week,weekend,,Weekdays,,Weekends,,,week,weekend
,,0,1,0,1,,,,,0,1,0,1,,,
1,0,0.974,0.026,0.970,0.030,,0.626,0.630,,0.05,0.95,0.05,0.95,,0.950,0.950
1,1,0.374,0.626,0.370,0.630,,0.626,0.630,,0.05,0.95,0.05,0.95,,0.950,0.950
2,0,0.978,0.022,0.974,0.026,,0.398,0.404,,0.05,0.95,0.05,0.95,,0.950,0.950
2,1,0.378,0.622,0.374,0.626,,0.398,0.404,,0.05,0.95,0.05,0.95,,0.950,0.950
3,0,0.972,0.028,0.968,0.032,,0.267,0.274,,0.05,0.95,0.05,0.95,,0.950,0.950
3,1,0.372,0.628,0.368,0.632,,0.267,0.274,,0.05,0.95,0.05,0.95,,0.950,0.950
4,0,0.972,0.028,0.968,0.032,,0.188,0.197,,0.05,0.95,0.05,0.95,,0.950,0.950
4,1,0.372,0.628,0.368,0.632,,0.188,0.197,,0.05,0.95,0.05,0.95,,0.950,0.950
5,0,0.972,0.028,0.973,0.027,,0.141,0.145,,0.05,0.95,0.05,0.95,,0.950,0.950
5,1,0.372,0.628,0.373,0.627,,0.141,0.145,,0.05,0.95,0.05,0.95,,0.950,0.950
6,0,0.967,0.033,0.970,0.030,,0.117,0.117,,0.05,0.95,0.05,0.95,,0.950,0.950
6,1,0.367,0.633,0.370,0.630,,0.117,0.117,,0.05,0.95,0.05,0.95,,0.950,0.950
7,0,0.965,0.035,0.965,0.035,,0.105,0.105,,0.05,0.95,0.05,0.95,,0.950,0.950
7,1,0.365,0.635,0.365,0.635,,0.105,0.105,,0.05,0.95,0.05,0.95,,0.950,0.950
8,0,0.958,0.042,0.958,0.042,,0.105,0.105,,0.05,0.95,0.05,0.95,,0.950,0.950
8,1,0.358,0.642,0.358,0.642,,0.105,0.105,,0.05,0.95,0.05,0.95,,0.950,0.950
9,0,0.954,0.046,0.954,0.046,,0.109,0.109,,0.05,0.95,0.05,0.95,,0.950,0.950
9,1,0.354,0.646,0.354,0.646,,0.109,0.109,,0.05,0.95,0.05,0.95,,0.950,0.950
10,0,0.930,0.070,0.940,0.060,,0.136,0.125,,0.05,0.95,0.05,0.95,,0.950,0.950
10,1,0.330,0.670,0.340,0.660,,0.136,0.125,,0.05,0.95,0.05,0.95,,0.950,0.950
