Heating or Cooling system model parameters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primary heating system index,Proportion of dwellings with this heating system,Type of heating unit,Type of system,Type of fuel,Fuel flow rate (nominal),Calorific value of fuel,Calorific value of fuel flow rate,Thermal efficiency,Heat output of unit,Standby power,Pump power,DHW cylinder volume,DHW Tank Heat Loss,,,,Database of Heating Systems to Choose From,,,,,,,,,,,,
,,,"1 = regular, 2 = combi",,mfuel,,,?h,?h,Pstandby,Ppump,Vcyl,Hloss,,,,UK,Urban India,,,,,,Rural India,,,,,
,,,,,m3/h or kW,MJ/m3 or MJ/kWh,W,%,W,W,W,ltr,WK-1,,,,Any Year,2006,2011,2016,2021,2026,2031,2006,2011,2016,2021,2026,2031
1,10%,Boiler (regular),1,Mains gas,2.61,40,29000,75%,21750,10,20,125,1.5,,,,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
2,20%,Boiler (combi),2,Mains gas,2.61,40,29000,75%,21750,10,20,5,0.5,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
3,10%,Boiler (system),1,Mains gas,1.64,40,18222.2222222222,75%,13666.6666666667,10,20,125,1.5,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
4,30%,No Heating or Cooling,4,Electricity,0.00,3.60,0,0.0%,0.00,0.00,0.00,5,0.5,,No Heating,,0%,64%,55%,44%,30%,13%,2%,100%,100%,100%,100%,100%,100%
5,30%,Electric Water Heater,5,Electricity,2.00,3.60,2000,100%,2000,0.00,20,50,0.5,,Electric Water Heater,,0%,36%,45%,56%,70%,87%,98%,0%,0%,0%,0%,0%,0%
,,,,,,,,,,,,,,,,Check Total,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
References:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
‘RESIDENTIAL CONSUMPTION OF ELECTRICITY IN INDIA DOCUMENTATION OF DATA AND METHODOLOGY’,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Background Paper, ‘India: Strategies for Low Carbon Growth’, DRAFT July 2008, The World Bank",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
www.moef.nic.in/downloads/public-information/Residentialpowerconsumption.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 1: Population and Urbanization, 2006-2030",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 11:Population of Heating / Cooling Appliances (millions) used later in heating and cooling models,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 13: Parc Average Operating per-Unit Power Consumption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 14: Parc Average Standby per-Unit Power Consumption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 15: Parc Average per-Unit Annual Operating Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"All the above are for scenario 1. Energy efficiency improvments are available in some appliances under scenario 2, not counting the rebound effect.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assumptions:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In the UK, all heating is by gas boilers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
