https://data.open-power-system-data.org/household_data/2020-04-15
utc_timestamp 	datetime (fmt:%Y-%m-%dT%H%M%SZ) 	Start of timeperiod in Coordinated Universal Time
cet_cest_timestamp 	datetime (fmt:%Y-%m-%dT%H%M%S%z) 	Start of timeperiod in Central European (Summer-) Time
interpolated 	string 	marker to indicate which columns are missing data in source data and has been interpolated (e.g. DE_KN_Residential1_grid_import;)
DE_KN_residential1_dishwasher 	number (float) 	Dishwasher energy consumption in a residential building, located in the suburban area in kWh
DE_KN_residential1_freezer 	number (float) 	Freezer energy consumption in a residential building, located in the suburban area in kWh
DE_KN_residential1_grid_import 	number (float) 	Energy imported from the public grid in a residential building, located in the suburban area in kWh
DE_KN_residential1_heat_pump 	number (float) 	Heat pump energy consumption in a residential building, located in the suburban area in kWh
DE_KN_residential1_pv 	number (float) 	Total Photovoltaic energy generation in a residential building, located in the suburban area in kWh
DE_KN_residential1_washing_machine 	number (float) 	Washing machine energy consumption in a residential building, located in the suburban area in kWh
DE_KN_residential2_circulation_pump 	number (float) 	Circulation pump energy consumption in a residential building, located in the suburban area in kWh
DE_KN_residential2_dishwasher 	number (float) 	Dishwasher energy consumption in a residential building, located in the suburban area in kWh
DE_KN_residential2_freezer 	number (float) 	Freezer energy consumption in a residential building, located in the suburban area in kWh
DE_KN_residential2_grid_import 	number (float) 	Energy imported from the public grid in a residential building, located in the suburban area in kWh
DE_KN_residential2_washing_machine 	number (float) 	Washing machine energy consumption in a residential building, located in the suburban area in kWh
DE_KN_residential3_circulation_pump 	number (float) 	Circulation pump energy consumption in a residential building, located in the urban area in kWh
DE_KN_residential3_dishwasher 	number (float) 	Dishwasher energy consumption in a residential building, located in the urban area in kWh
DE_KN_residential3_freezer 	number (float) 	Freezer energy consumption in a residential building, located in the urban area in kWh
DE_KN_residential3_grid_export 	number (float) 	Energy exported to the public grid in a residential building, located in the urban area in kWh
DE_KN_residential3_grid_import 	number (float) 	Energy imported from the public grid in a residential building, located in the urban area in kWh
DE_KN_residential3_pv 	number (float) 	Total Photovoltaic energy generation in a residential building, located in the urban area in kWh
DE_KN_residential3_refrigerator 	number (float) 	Refrigerator energy consumption in a residential building, located in the urban area in kWh
DE_KN_residential3_washing_machine 	number (float) 	Washing machine energy consumption in a residential building, located in the urban area in kWh
DE_KN_residential4_dishwasher 	number (float) 	Dishwasher energy consumption in a residential building, located in the urban area in kWh
DE_KN_residential4_ev 	number (float) 	Electric Vehicle charging energy in a residential building, located in the urban area in kWh
DE_KN_residential4_freezer 	number (float) 	Freezer energy consumption in a residential building, located in the urban area in kWh
DE_KN_residential4_grid_export 	number (float) 	Energy exported to the public grid in a residential building, located in the urban area in kWh
DE_KN_residential4_grid_import 	number (float) 	Energy imported from the public grid in a residential building, located in the urban area in kWh
DE_KN_residential4_heat_pump 	number (float) 	Heat pump energy consumption in a residential building, located in the urban area in kWh
DE_KN_residential4_pv 	number (float) 	Total Photovoltaic energy generation in a residential building, located in the urban area in kWh
DE_KN_residential4_refrigerator 	number (float) 	Refrigerator energy consumption in a residential building, located in the urban area in kWh
DE_KN_residential4_washing_machine 	number (float) 	Washing machine energy consumption in a residential building, located in the urban area in kWh
DE_KN_residential5_dishwasher 	number (float) 	Dishwasher energy consumption in a residential apartment, located in the urban area in kWh
DE_KN_residential5_grid_import 	number (float) 	Energy imported from the public grid in a residential apartment, located in the urban area in kWh
DE_KN_residential5_refrigerator 	number (float) 	Refrigerator energy consumption in a residential apartment, located in the urban area in kWh
DE_KN_residential5_washing_machine 	number (float) 	Washing machine energy consumption in a residential apartment, located in the urban area in kWh
DE_KN_residential6_circulation_pump 	number (float) 	Circulation pump energy consumption in a residential building, located in the urban area in kWh
DE_KN_residential6_dishwasher 	number (float) 	Dishwasher energy consumption in a residential building, located in the urban area in kWh
DE_KN_residential6_freezer 	number (float) 	Freezer energy consumption in a residential building, located in the urban area in kWh
DE_KN_residential6_grid_export 	number (float) 	Energy exported to the public grid in a residential building, located in the urban area in kWh
DE_KN_residential6_grid_import 	number (float) 	Energy imported from the public grid in a residential building, located in the urban area in kWh
DE_KN_residential6_pv 	number (float) 	Total Photovoltaic energy generation in a residential building, located in the urban area in kWh
DE_KN_residential6_washing_machine 	number (float) 	Washing machine energy consumption in a residential building, located in the urban area in kWh
